Date,Special Period,Special Day,Day,Day #,Top 10 Gross,%?? YD,%?? LW,Releases,#1_Release,Gross,Link,
31-Dec-19,,New Year's Eve,Tuesday,365,"$41,665,447 ",15%,16.30%,54,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$13,217,698 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
30-Dec-19,,,Monday,364,"$43,219,231 ",-23.40%,-8.50%,53,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$15,302,130 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
29-Dec-19,,,Sunday,363,"$56,411,598 ",-13.50%,-10.10%,54,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$21,244,082 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
28-Dec-19,,,Saturday,362,"$65,192,161 ",NA,-9.50%,54,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$25,075,535 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
27-Dec-19,,,Friday,361,"$65,191,259 ",-4.80%,-39.90%,54,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$26,069,973 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
26-Dec-19,,,Thursday,360,"$68,467,070 ",-9%,770.80%,54,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$30,586,950 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
25-Dec-19,,Christmas Day,Wednesday,359,"$75,198,949 ",104.10%,748.70%,54,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$32,165,681 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
24-Dec-19,,,Tuesday,358,"$36,838,699 ",-22%,157.10%,49,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$20,270,474 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
23-Dec-19,,,Monday,357,"$47,229,945 ",-24.70%,455.10%,52,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$29,389,847 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
22-Dec-19,,,Sunday,356,"$62,731,517 ",-12.90%,107.20%,51,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$40,301,011 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
21-Dec-19,,,Saturday,355,"$72,035,124 ",-33.60%,56.40%,51,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$47,467,565 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
20-Dec-19,,,Friday,354,"$108,450,464 ",1279.30%,218.10%,51,Star_Wars_Episode_IX_The_Rise_of_Skywalker,"$89,615,288 ",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,
19-Dec-19,,,Thursday,353,"$7,862,973 ",-11.30%,39.30%,54,Jumanji_The_Next_Level,"$3,215,901 ",https://www.rottentomatoes.com/m/Jumanji_The_Next_Level,
18-Dec-19,,,Wednesday,352,"$8,860,729 ",-38.20%,35.60%,54,Jumanji_The_Next_Level,"$3,456,336 ",https://www.rottentomatoes.com/m/Jumanji_The_Next_Level,
17-Dec-19,,,Tuesday,351,"$14,327,480 ",68.40%,35.10%,53,Jumanji_The_Next_Level,"$6,301,757 ",https://www.rottentomatoes.com/m/Jumanji_The_Next_Level,
16-Dec-19,,,Monday,350,"$8,508,581 ",-71.90%,39%,54,Jumanji_The_Next_Level,"$3,585,828 ",https://www.rottentomatoes.com/m/Jumanji_The_Next_Level,
15-Dec-19,,,Sunday,349,"$30,280,587 ",-34.30%,27.30%,59,Jumanji_The_Next_Level,"$15,917,973 ",https://www.rottentomatoes.com/m/Jumanji_The_Next_Level,
14-Dec-19,,,Saturday,348,"$46,058,861 ",35.10%,30%,58,Jumanji_The_Next_Level,"$23,610,586 ",https://www.rottentomatoes.com/m/Jumanji_The_Next_Level,
13-Dec-19,,,Friday,347,"$34,092,053 ",504%,63.80%,56,Jumanji_The_Next_Level,"$19,722,984 ",https://www.rottentomatoes.com/m/Jumanji_The_Next_Level,
12-Dec-19,,,Thursday,346,"$5,643,980 ",-13.60%,-29.30%,54,Frozen_II,"$1,758,492 ",https://www.rottentomatoes.com/m/Frozen_II,
11-Dec-19,,,Wednesday,345,"$6,533,255 ",-38.40%,-21.70%,56,Frozen_II,"$2,034,899 ",https://www.rottentomatoes.com/m/Frozen_II,
10-Dec-19,,,Tuesday,344,"$10,602,743 ",73.30%,-24%,55,Frozen_II,"$3,585,256 ",https://www.rottentomatoes.com/m/Frozen_II,
9-Dec-19,,,Monday,343,"$6,119,141 ",-74.30%,-32.60%,56,Frozen_II,"$1,890,910 ",https://www.rottentomatoes.com/m/Frozen_II,
8-Dec-19,,,Sunday,342,"$23,778,027 ",-32.90%,-35.90%,56,Frozen_II,"$11,298,128 ",https://www.rottentomatoes.com/m/Frozen_II,
7-Dec-19,,,Saturday,341,"$35,416,686 ",70.10%,-44.30%,54,Frozen_II,"$16,050,532 ",https://www.rottentomatoes.com/m/Frozen_II,
6-Dec-19,,,Friday,340,"$20,815,381 ",160.60%,-68.70%,53,Frozen_II,"$7,816,954 ",https://www.rottentomatoes.com/m/Frozen_II,
5-Dec-19,,,Thursday,339,"$7,986,180 ",-4.30%,-75.80%,53,Frozen_II,"$2,730,406 ",https://www.rottentomatoes.com/m/Frozen_II,
4-Dec-19,,,Wednesday,338,"$8,346,926 ",-40.20%,-80.80%,54,Frozen_II,"$2,824,699 ",https://www.rottentomatoes.com/m/Frozen_II,
3-Dec-19,,,Tuesday,337,"$13,957,681 ",53.70%,-55.40%,54,Frozen_II,"$5,336,770 ",https://www.rottentomatoes.com/m/Frozen_II,
2-Dec-19,,,Monday,336,"$9,080,802 ",-75.50%,-53.60%,54,Frozen_II,"$3,187,895 ",https://www.rottentomatoes.com/m/Frozen_II,
1-Dec-19,,,Sunday,335,"$37,085,196 ",-41.70%,-32%,53,Frozen_II,"$19,482,892 ",https://www.rottentomatoes.com/m/Frozen_II,
30-Nov-19,,,Saturday,334,"$63,577,988 ",-4.50%,-15%,51,Frozen_II,"$32,363,967 ",https://www.rottentomatoes.com/m/Frozen_II,
29-Nov-19,,,Friday,333,"$66,606,168 ",101.90%,9.70%,51,Frozen_II,"$34,130,914 ",https://www.rottentomatoes.com/m/Frozen_II,
28-Nov-19,,Thanksgiving,Thursday,332,"$32,997,845 ",-17.60%,-11.20%,53,Frozen_II,"$14,960,468 ",https://www.rottentomatoes.com/m/Frozen_II,
27-Nov-19,,,Wednesday,331,"$43,551,766 ",39.30%,523.70%,53,Frozen_II,"$24,080,546 ",https://www.rottentomatoes.com/m/Frozen_II,
26-Nov-19,,,Tuesday,330,"$31,266,098 ",59.80%,179.60%,53,Frozen_II,"$20,791,974 ",https://www.rottentomatoes.com/m/Frozen_II,
25-Nov-19,,,Monday,329,"$19,568,580 ",-64.10%,191.50%,55,Frozen_II,"$12,771,012 ",https://www.rottentomatoes.com/m/Frozen_II,
24-Nov-19,,,Sunday,328,"$54,569,715 ",-27.10%,129.90%,57,Frozen_II,"$38,017,065 ",https://www.rottentomatoes.com/m/Frozen_II,
23-Nov-19,,,Saturday,327,"$74,835,863 ",23.20%,96.30%,57,Frozen_II,"$50,041,031 ",https://www.rottentomatoes.com/m/Frozen_II,
22-Nov-19,,,Friday,326,"$60,740,243 ",944.90%,118.80%,56,Frozen_II,"$42,205,262 ",https://www.rottentomatoes.com/m/Frozen_II,
21-Nov-19,,,Thursday,325,"$5,812,815 ",-16.80%,-7.90%,56,Ford_v_Ferrari,"$2,023,953 ",https://www.rottentomatoes.com/m/Ford_v_Ferrari,
20-Nov-19,,,Wednesday,324,"$6,982,607 ",-37.60%,5.30%,57,Ford_v_Ferrari,"$2,409,124 ",https://www.rottentomatoes.com/m/Ford_v_Ferrari,
19-Nov-19,,,Tuesday,323,"$11,181,619 ",66.60%,-0.40%,58,Ford_v_Ferrari,"$3,721,314 ",https://www.rottentomatoes.com/m/Ford_v_Ferrari,
18-Nov-19,,,Monday,322,"$6,713,649 ",-71.70%,-57.80%,59,Ford_v_Ferrari,"$2,360,221 ",https://www.rottentomatoes.com/m/Ford_v_Ferrari,
17-Nov-19,,,Sunday,321,"$23,739,106 ",-37.70%,-19.70%,60,Ford_v_Ferrari,"$8,053,816 ",https://www.rottentomatoes.com/m/Ford_v_Ferrari,
16-Nov-19,,,Saturday,320,"$38,123,029 ",37.30%,-5.60%,58,Ford_v_Ferrari,"$12,409,617 ",https://www.rottentomatoes.com/m/Ford_v_Ferrari,
15-Nov-19,,,Friday,319,"$27,764,908 ",339.90%,-9.70%,58,Ford_v_Ferrari,"$11,011,525 ",https://www.rottentomatoes.com/m/Ford_v_Ferrari,
14-Nov-19,,,Thursday,318,"$6,311,446 ",-4.80%,0.60%,56,Midway,"$1,329,821 ",https://www.rottentomatoes.com/m/Midway_2019,
13-Nov-19,,,Wednesday,317,"$6,631,735 ",-40.90%,-3.70%,56,Midway,"$1,486,389 ",https://www.rottentomatoes.com/m/Midway_2019,
12-Nov-19,,,Tuesday,316,"$11,228,501 ",-29.40%,-14.80%,60,Midway,"$2,427,046 ",https://www.rottentomatoes.com/m/Midway_2019,
11-Nov-19,,,Monday,315,"$15,901,040 ",-46.20%,106.10%,59,Midway,"$3,250,098 ",https://www.rottentomatoes.com/m/Midway_2019,
10-Nov-19,,,Sunday,314,"$29,556,564 ",-26.80%,7.50%,55,Midway,"$5,029,032 ",https://www.rottentomatoes.com/m/Midway_2019,
9-Nov-19,,,Saturday,313,"$40,390,774 ",31.30%,-3.80%,54,Midway,"$6,523,018 ",https://www.rottentomatoes.com/m/Midway_2019,
8-Nov-19,,,Friday,312,"$30,757,803 ",390.20%,2.80%,56,Midway,"$6,345,369 ",https://www.rottentomatoes.com/m/Midway_2019,
7-Nov-19,,,Thursday,311,"$6,273,986 ",-8.90%,-24.60%,55,Terminator_Dark_Fate,"$1,433,670 ",https://www.rottentomatoes.com/m/Terminator_Dark_Fate,
6-Nov-19,,,Wednesday,310,"$6,889,273 ",-47.70%,0.50%,57,Terminator_Dark_Fate,"$1,696,985 ",https://www.rottentomatoes.com/m/Terminator_Dark_Fate,
5-Nov-19,,,Tuesday,309,"$13,173,253 ",70.70%,18.60%,56,Terminator_Dark_Fate,"$3,429,579 ",https://www.rottentomatoes.com/m/Terminator_Dark_Fate,
4-Nov-19,,,Monday,308,"$7,716,943 ",-71.90%,-9.60%,55,Terminator_Dark_Fate,"$2,063,064 ",https://www.rottentomatoes.com/m/Terminator_Dark_Fate,
