Date,Special Period,Special Day,Day,Day #,Top 10 Gross,%?? YD,%?? LW,Releases,#1_Release,Gross,Link
12/31/2020, Pandemic,New Year's Eve,Thursday,366,"$2,915,033 ",-93%,-91.90%,17,Wonder_Woman_1984,"$1,378,106 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/30/2020, Pandemic,,Wednesday,365,"$2,876,460 ",-6.10%,-91.90%,16,Wonder_Woman_1984,"$1,451,131 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/29/2020, Pandemic,,Tuesday,364,"$3,063,773 ",-0.70%,224.30%,17,Wonder_Woman_1984,"$1,655,240 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/28/2020, Pandemic,,Monday,363,"$3,085,353 ",-41.80%,231.40%,17,Wonder_Woman_1984,"$1,822,877 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/27/2020, Pandemic,,Sunday,362,"$5,302,360 ",-36.90%,183%,27,Wonder_Woman_1984,"$3,408,342 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/26/2020, Pandemic,,Saturday,361,"$8,403,557 ",-16.60%,210.80%,27,Wonder_Woman_1984,"$5,811,188 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/25/2020, Pandemic,Christmas Day,Friday,360,"$10,074,446 ",1187.50%,-85%,27,Wonder_Woman_1984,"$7,482,427 ",https://www.rottentomatoes.com/m/Wonder_Woman_1984
12/24/2020, Pandemic,,Thursday,359,"$782,482 ",-16%,144.70%,15,The_Croods_A_New_Age,"$348,215 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/23/2020, Pandemic,,Wednesday,358,"$930,994 ",-99.10%,-57.50%,17,The_Croods_A_New_Age,"$416,835 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/22/2020, Pandemic,,Tuesday,357,"$944,706 ",22.10%,131.60%,17,The_Croods_A_New_Age,"$420,110 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/21/2020, Pandemic,,Monday,356,"$773,974 ",-58.70%,141.10%,17,The_Croods_A_New_Age,"$323,075 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/20/2020, Pandemic,,Sunday,355,"$1,873,323 ",-30.70%,359.20%,25,The_Croods_A_New_Age,"$647,765 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/19/2020, Pandemic,,Saturday,354,"$2,703,842 ",23.50%,5.40%,27,The_Croods_A_New_Age,"$884,055 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/18/2020, Pandemic,,Friday,353,"$2,188,535 ",584.50%,41.70%,27,Monster_Hunter,"$824,964 ",https://www.rottentomatoes.com/m/Monster_Hunter
12/17/2020, Pandemic,,Thursday,352,"$319,712 ",-0.40%,-25.80%,16,The_Croods_A_New_Age,"$180,710 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/16/2020, Pandemic,,Wednesday,351,"$321,048 ",-21.30%,-19.50%,16,The_Croods_A_New_Age,"$170,225 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/15/2020, Pandemic,,Tuesday,350,"$407,983 ",39.20%,-22.70%,16,The_Croods_A_New_Age,"$217,325 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/14/2020, Pandemic,,Monday,349,"$293,095 ",-80.40%,-26.50%,15,The_Croods_A_New_Age,"$150,370 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/13/2020, Pandemic,,Sunday,348,"$1,494,353 ",-41.70%,183.10%,25,The_Croods_A_New_Age,"$847,930 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/12/2020, Pandemic,,Saturday,347,"$2,565,080 ",66%,-24.30%,25,The_Croods_A_New_Age,"$1,435,040 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/11/2020, Pandemic,,Friday,346,"$1,544,909 ",258.60%,-26%,25,The_Croods_A_New_Age,"$777,565 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/10/2020, Pandemic,,Thursday,345,"$430,841 ",8%,-20.30%,18,The_Croods_A_New_Age,"$230,115 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/9/2020, Pandemic,,Wednesday,344,"$398,932 ",-24.40%,-95.60%,19,The_Croods_A_New_Age,"$209,880 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
12/8/2020, Pandemic,,Tuesday,343,"$527,922 ",40.30%,-2.30%,20,The_Croods_A_New_Age,"$279,625 ",https://www.rottentomatoes.com/m/The_Croods_A_New_Age
