Date,Special Period,Special Day,Day,Day #,Top 10 Gross,%?? YD,%?? LW,Releases,#1_Release,Gross,Link,,,,
11/21/2021,,,Sunday,325,"$21,301,961 ",-33.30%,20%,22,Ghostbusters_Afterlife,"$11,330,000 ",https://www.rottentomatoes.com/m/Ghostbusters_Afterlife,,,,
11/20/2021,,,Saturday,324,"$31,935,601 ",19.40%,9%,22,Ghostbusters_Afterlife,"$16,170,000 ",https://www.rottentomatoes.com/m/Ghostbusters_Afterlife,,,,
11/19/2021,,,Friday,323,"$26,757,004 ",601.10%,42.20%,22,Ghostbusters_Afterlife,"$16,500,000 ",https://www.rottentomatoes.com/m/Ghostbusters_Afterlife,,,,
11/18/2021,,,Thursday,322,"$3,816,174 ",-9.90%,-73.30%,21,Eternals,"$1,378,464 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/17/2021,,,Wednesday,321,"$4,236,052 ",-22.30%,-55.50%,21,Eternals,"$1,614,457 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/16/2021,,,Tuesday,320,"$5,455,298 ",28.40%,-35.30%,22,Eternals,"$2,181,960 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/15/2021,,,Monday,319,"$4,248,277 ",-76.10%,-38.70%,22,Eternals,"$1,701,899 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/14/2021,,,Sunday,318,"$17,747,230 ",-39.40%,-29.60%,24,Eternals,"$7,141,461 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/13/2021,,,Saturday,317,"$29,291,422 ",55.70%,-23.60%,24,Eternals,"$11,868,839 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/12/2021,,,Friday,316,"$18,814,075 ",31.80%,-53.50%,24,Eternals,"$7,839,828 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/11/2021,,,Thursday,315,"$14,279,388 ",49.90%,239%,29,Eternals,"$6,243,758 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/10/2021,,,Wednesday,314,"$9,527,404 ",13%,81.40%,30,Eternals,"$4,211,822 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/9/2021,,,Tuesday,313,"$8,433,267 ",21.70%,29.60%,29,Eternals,"$5,250,371 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/8/2021,,,Monday,312,"$6,931,457 ",-72.50%,26.40%,30,Eternals,"$4,262,085 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/7/2021,,,Sunday,311,"$25,199,564 ",-34.30%,59.30%,34,Eternals,"$16,328,496 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/6/2021,,,Saturday,310,"$38,349,424 ",-5.20%,52.80%,34,Eternals,"$24,124,504 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/5/2021,,,Friday,309,"$40,472,345 ",860.70%,92.50%,34,Eternals,"$30,844,219 ",https://www.rottentomatoes.com/m/Eternals,,,,
11/4/2021,,,Thursday,308,"$4,212,755 ",-19.80%,7.80%,29,Dune,"$1,278,024 ",https://www.rottentomatoes.com/m/Dune_2021,,,,
11/3/2021,,,Wednesday,307,"$5,251,690 ",-19.30%,32.50%,29,Dune,"$1,882,062 ",https://www.rottentomatoes.com/m/Dune_2021,,,,
11/2/2021,,,Tuesday,306,"$6,508,716 ",18.70%,34.90%,29,Dune,"$2,135,905 ",https://www.rottentomatoes.com/m/Dune_2021,,,,
11/1/2021,,,Monday,305,"$5,484,630 ",-65.30%,30.20%,29,Dune,"$1,745,453 ",https://www.rottentomatoes.com/m/Dune_2021,,,,
10/31/2021,,Halloween,Sunday,304,"$15,822,377 ",355%,-9.90%,34,Dune,"$3,958,751 ",https://www.rottentomatoes.com/m/Dune_2021,,,,
10/30/2021,,,Saturday,303,"$25,097,923 ",19.40%,-31.60%,34,Dune,"$6,513,629 ",https://www.rottentomatoes.com/m/Dune_2021,,,,
10/29/2021,,,Friday,302,"$21,019,660 ",437.80%,-36.80%,34,Dune,"$4,941,106 ",https://www.rottentomatoes.com/m/Dune_2021,,,,
10/28/2021,,,Thursday,301,"$3,908,400 ",-1.40%,-32.80%,29,No_Time_to_Die,"$1,207,256 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/27/2021,,,Wednesday,300,"$3,964,328 ",-17.80%,-40.70%,28,No_Time_to_Die,"$1,212,289 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/26/2021,,,Tuesday,299,"$4,823,445 ",14.50%,-42.50%,29,No_Time_to_Die,"$1,469,567 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/25/2021,,,Monday,298,"$4,211,230 ",-82.10%,-45%,29,No_Time_to_Die,"$1,264,170 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/24/2021,,,Sunday,297,"$23,567,302 ",-35.80%,-4.20%,31,Dune,"$8,900,000 ",https://www.rottentomatoes.com/m/Dune_2021,,,,
10/23/2021,,,Saturday,296,"$36,689,902 ",10.30%,-13.60%,31,Dune,"$13,700,000 ",https://www.rottentomatoes.com/m/Dune_2021,,,,
10/22/2021,,,Friday,295,"$33,272,239 ",472.10%,-16.50%,31,Dune,"$17,500,000 ",https://www.rottentomatoes.com/m/Dune_2021,,,,
10/21/2021,,,Thursday,294,"$5,815,496 ",-13%,-14.30%,28,No_Time_to_Die,"$1,928,467 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/20/2021,,,Wednesday,293,"$6,681,073 ",-20.30%,-12.10%,28,No_Time_to_Die,"$2,292,823 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/19/2021,,,Tuesday,292,"$8,384,436 ",9.60%,-11.50%,28,Halloween_Kills,"$2,742,380 ",https://www.rottentomatoes.com/m/Halloween_Kills,,,,
10/18/2021,,,Monday,291,"$7,652,625 ",-68.90%,-45.80%,28,Halloween_Kills,"$2,720,460 ",https://www.rottentomatoes.com/m/Halloween_Kills,,,,
10/17/2021,,,Sunday,290,"$24,592,538 ",-42.10%,-15.70%,30,Halloween_Kills,"$9,249,355 ",https://www.rottentomatoes.com/m/Halloween_Kills,,,,
10/16/2021,,,Saturday,289,"$42,458,355 ",6.50%,6.80%,30,Halloween_Kills,"$17,324,690 ",https://www.rottentomatoes.com/m/Halloween_Kills,,,,
10/15/2021,,,Friday,288,"$39,854,941 ",487%,4.60%,30,Halloween_Kills,"$22,830,935 ",https://www.rottentomatoes.com/m/Halloween_Kills,,,,
10/14/2021,,,Thursday,287,"$6,789,384 ",-10.60%,25.50%,29,No_Time_to_Die,"$3,608,414 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/13/2021,,,Wednesday,286,"$7,596,659 ",-19.80%,22.90%,29,No_Time_to_Die,"$4,190,316 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/12/2021,,,Tuesday,285,"$9,476,934 ",-32.90%,5.80%,29,No_Time_to_Die,"$5,248,341 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/11/2021,,Indig. Peoples' Day,Monday,284,"$14,128,312 ",1391.10%,-25.50%,29,No_Time_to_Die,"$6,938,476 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/10/2021,,,Sunday,283,"$29,186,499 ",-26.60%,-1%,31,No_Time_to_Die,"$13,760,317 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/9/2021,,,Saturday,282,"$39,757,615 ",4.30%,-11.80%,31,No_Time_to_Die,"$18,154,289 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/8/2021,,,Friday,281,"$38,106,841 ",604.30%,-19.10%,31,No_Time_to_Die,"$23,310,401 ",https://www.rottentomatoes.com/m/No_Time_to_Die,,,,
10/7/2021,,,Thursday,280,"$5,410,226 ",-12.50%,110.60%,32,Venom_Let_There_Be_Carnage,"$3,478,254 ",https://www.rottentomatoes.com/m/Venom_Let_There_Be_Carnage,,,,
10/6/2021,,,Wednesday,279,"$6,183,549 ",-31%,157%,32,Venom_Let_There_Be_Carnage,"$4,127,045 ",https://www.rottentomatoes.com/m/Venom_Let_There_Be_Carnage,,,,
10/5/2021,,,Tuesday,278,"$8,959,177 ",10.90%,192.30%,32,Venom_Let_There_Be_Carnage,"$6,276,769 ",https://www.rottentomatoes.com/m/Venom_Let_There_Be_Carnage,,,,
10/4/2021,,,Monday,277,"$8,080,853 ",-72.60%,236.50%,32,Venom_Let_There_Be_Carnage,"$5,750,338 ",https://www.rottentomatoes.com/m/Venom_Let_There_Be_Carnage,,,,
10/3/2021,,,Sunday,276,"$29,490,092 ",-34.60%,252.30%,32,Venom_Let_There_Be_Carnage,"$20,985,629 ",https://www.rottentomatoes.com/m/Venom_Let_There_Be_Carnage,,,,
10/2/2021,,,Saturday,275,"$45,096,762 ",-4.30%,220.60%,33,Venom_Let_There_Be_Carnage,"$31,630,397 ",https://www.rottentomatoes.com/m/Venom_Let_There_Be_Carnage,,,,
10/1/2021,,,Friday,274,"$47,123,757 ",1734.10%,359.20%,32,Venom_Let_There_Be_Carnage,"$37,417,184 ",https://www.rottentomatoes.com/m/Venom_Let_There_Be_Carnage,,,,
9/30/2021,,,Thursday,273,"$2,569,276 ",6.80%,-1.10%,31,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$782,384 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/29/2021,,,Wednesday,272,"$2,405,897 ",-21.50%,-14.60%,31,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$961,808 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/28/2021,,,Tuesday,271,"$3,065,418 ",27.70%,-16.20%,31,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$1,175,926 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/27/2021,,,Monday,270,"$2,401,254 ",-71.30%,-16.50%,31,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$946,189 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/26/2021,,,Sunday,269,"$8,370,990 ",-40.50%,-19.40%,31,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$3,530,763 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/25/2021,,,Saturday,268,"$14,065,861 ",37.10%,-19%,31,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$5,933,872 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/24/2021,,,Friday,267,"$10,263,071 ",295.10%,-4.80%,31,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$3,566,776 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/23/2021,,,Thursday,266,"$2,597,470 ",-7.80%,-39.30%,33,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$1,341,020 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/22/2021,,,Wednesday,265,"$2,816,951 ",-23%,-30.70%,33,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$1,467,643 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/21/2021,,,Tuesday,264,"$3,656,899 ",27.10%,-26.90%,33,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$1,961,601 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/20/2021,,,Monday,263,"$2,876,849 ",-72.30%,-24.60%,32,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$1,539,514 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/19/2021,,,Sunday,262,"$10,380,757 ",-40.20%,-29.30%,33,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$6,050,069 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/18/2021,,,Saturday,261,"$17,355,509 ",60.90%,-27.20%,33,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$9,754,340 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/17/2021,,,Friday,260,"$10,784,252 ",152.10%,-28.20%,33,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$5,866,342 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/16/2021,,,Thursday,259,"$4,278,293 ",5.20%,-27%,34,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$2,581,531 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/15/2021,,,Wednesday,258,"$4,065,087 ",-18.80%,-39.10%,34,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$2,466,295 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/14/2021,,,Tuesday,257,"$5,003,637 ",31.20%,-45.40%,33,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$3,180,985 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/13/2021,,,Monday,256,"$3,813,599 ",-74%,-86.20%,32,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$2,448,533 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/12/2021,,,Sunday,255,"$14,687,162 ",-38.40%,-57.50%,34,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$9,729,758 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
9/11/2021,,,Saturday,254,"$23,854,556 ",58.70%,-33%,34,Shang-Chi_and_the_Legend_of_the_Ten_Rings,"$15,343,106 ",https://www.rottentomatoes.com/m/Shang-Chi_and_the_Legend_of_the_Ten_Rings,,,,
